ID,Text,Comment
LV.QS.AutoContinueShift,Carregar automaticamente segurando Shift,-
LV.QS.AutoContinueShiftDesc,Carregar automaticamente o último jogo salvo (como clicar no botão Continuar) ao segurar Shift durante o início do jogo.,-
LV.QS.AutoContinueShiftToCancel,Segure Shift para cancelar em vez disso,-
LV.QS.AutoContinueShiftToCancelDesc,"Sempre carregue o último salvamento, a menos que você mantenha a tecla Shift pressionada durante o início do jogo.",-
LV.QS.AutoLoadMap,Carregar o Editor de Mapas automaticamente em vez disso.,-
LV.QS.AutoLoadMapDesc,"Carregar o Editor de Mapas automaticamente ao iniciar o jogo, como um botão Continuar, mas para o Editor de Mapas.",-
LV.QS.PromptContinue,Pressione Shift para continuar automaticamente.,-
LV.QS.PromptLoadMap,Pressione Shift para carregar automaticamente o Editor de Mapas.,-
LV.QS.PromptCancelContinue,Pressione Shift para cancelar o auto Continuar,-
LV.QS.PromptCancelLoadMap,Pressione Shift para cancelar o carregamento automático do Editor de Mapas.,-
