ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,3х3 Гигантская секвойя,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??? дерево,-
MapMakerPlants.Brambles.DisplayName,Ежевика,-
MapMakerPlants.NewVineV.DisplayName,Лозы (вертикальные),-
MapMakerPlants.NewVineH.DisplayName,Лоза (горизонтальная),-
MapMakerPlants.Waterbamboo.DisplayName,2x2 В.bamboo,-
MapMakerPlants.Baobab.DisplayName,5x5 Баобаб,-
MapMakerPlants.LemonTree.DisplayName,Лимонное дерево,-
MapMakerPlants.PinkBirch.DisplayName,Вечная цветущая роза,-
MapMakerPlants.RuinedPath.DisplayName,Порушенный путь,-
MapMakerPlants.BrokenHouse.DisplayName,Сломанный дом (бревна),-
MapMakerPlants.PlankRuin.DisplayName,Сломанный дом (Доски),-
NaturalResource.PinkBirch.DisplayName,Вечное цветение,-
Good.Pumpkin.DisplayName,Тыква,-
Good.Pumpkin.PluralDisplayName,Тыквы,-
NaturalResource.Waterbamboo.DisplayName,Невероятно высокий бамбук,-
Lapantouflemagic.NewVineH.DisplayName,Виноградная лоза,-
MapMakerPlants.GearsRuin.DisplayName,Сломанный дом (Шестерни),-
MapMakerPlantReader.GrapeNeed.DisplayName,Виноград,-
MapMakerPlantReader.Lemonade.DisplayName,Лимонад,-
MapMakerPlantReader.Lemonade.PluralDisplayName,Лимонад,-
Good.RedGrapes.DisplayName,Виноград,-
Good.RedGrapes.PluralDisplayName,Виноград,-
MapMakerPlantReader.Lemons.DisplayName,Лимон,-
MapMakerPlantReader.Lemons.PluralDisplayName,Лимоны,-
