ID,Text,Comment
LV.ARSP.AlternativeRecipesGroup,Alternative Rezepturen,-
LV.ARSP.AlternativeRecipesGroupDesc,Schalte alternative Rezepte für deine Manufakturen frei.,-
LV.ARSP.LockReason,Sie müssen dieses Rezept zuerst in den wissenschaftlichen Projekten freischalten.,-
LV.ARSP.PlankBulkProcessing,Plankenmassenausarbeitung,-
LV.ARSP.PlankBulkProcessingRecipe,Bretter (Masse),-
LV.ARSP.PlankBulkProcessingLore,"""Staple sie hoch, schneide sie langsam – mehr Planken für den Transport!"" — Broadaxe Bulkchew",-
LV.ARSP.PlankBulkProcessingEff,Schalte [Rezept] frei: {0} Logs ⇒ {1} Planken in {2} Stunden in der Sägewerk,-
LV.ARSP.DirectLogForging,Direktes Log-Forging,-
LV.ARSP.DirectLogForgingRecipe,Getriebe (Direkt),-
LV.ARSP.DirectLogForgingLore,"Biber entdeckten, dass sie Stämme in grobe Formen nagen und sie zu Zahnrädern hämmern konnten, ohne den Planken-Schritt vollständig auszulassen. Es ist grob, aber es funktioniert.",-
LV.ARSP.DirectLogForgingEff,Schalte [Rezept] frei: {0} Holz ⇒ {1} Zahnräder in {2} Stunden in der Zahnradwerkstatt,-
LV.ARSP.RapidGearPress,Schnellgetriebe Presse,-
LV.ARSP.RapidGearPressRecipe,Getriebe (Schnell),-
LV.ARSP.RapidGearPressLore,"Indem sie die Pressen überstürzen und zusätzliches Holz stapeln, produzieren Biber schneller Zahnräder – auch wenn der Abfallberg ebenso schnell wächst.",-
LV.ARSP.RapidGearPressEff,Schalte [Rezept] frei: {0} Bretter ⇒ {1} Zahnräder in {2} Stunden in der Zahnradwerkstatt,-
LV.ARSP.HighYieldLogPress,Hochrendite Log-Press,-
LV.ARSP.HighYieldLogPressRecipe,Getriebe (Hochleistungs),-
LV.ARSP.HighYieldLogPressLore,"Nach Jahreszeiten des Versuchs perfektionierten Biber eine wassergetriebene Presse, die rohe Holzstämme mit atemberaubender Geschwindigkeit in Zahnräder verwandelt – ein Wunder späten saisonalen Einfallsreichtums.",-
LV.ARSP.HighYieldLogPressEff,Schalte [Rezept] frei: {0} Holz ⇒ {1} Zahnräder in {2} Stunden in der Getriebewerkstatt,-
LV.ARSP.ResinFiredSmelter,Harz-geschmolzener Schmelzofen,-
LV.ARSP.ResinFiredSmelterRecipe,Metallblöcke (Harzgebrannt),-
LV.ARSP.ResinFiredSmelterLore,"Volksmärchen nutzten die klebrige Kraft von Harz, um einen Schmelzofen zu schaffen, der langsam und gleichmäßig brennt und schnelles Metallhandwerk ermöglicht.",-
LV.ARSP.ResinFiredSmelterEff,Schalte [Rezept] frei: {0} Schrottmetall + {1} Kiefernharz ⇒ {2} Metallblöcke in {3} Stunden im Schmelzofen (nur Folktails),-
LV.ARSP.WoodReinforcedAlloy,Holzverstärktes Metalllegierung,-
LV.ARSP.WoodReinforcedAlloyRecipe,Metallblöcke (Holzverstärkt),-
