ID,Text,Comment
Nadca.Subgroup_SomeMetalPlatforms.DisplayName,新式金属平台,
Nadca.Subgroup_SomeMetalOverhangs.DisplayName,新式悬挑,
Nadca.Subgroup_SomePlatforms.DisplayName,新式木质平台,
Nadca.Overhang8x1.DisplayName,悬挑 8x1,
Nadca.Overhang9x1.DisplayName,悬挑 9x1,
Nadca.Overhang10x1.DisplayName,悬挑 10x1,
Nadca.Overhang11x1.DisplayName,悬挑 11x1,
Nadca.Overhang12x1.DisplayName,悬挑 12x1,
Nadca.Overhang13x1.DisplayName,悬挑 13x1,
Nadca.Overhang10x5.DisplayName,悬挑 10x5,
Nadca.Overhang.T.5x1.DisplayName,T 型悬挑 5x1,
Nadca.Overhang.T.10x1.DisplayName,T 型悬挑 10x1,
Nadca.Overhang3x3+22.DisplayName,超长型悬挑 3x3+22,
Nadca.Platform3x3x3.DisplayName,三重平台 3x3,
Nadca.Platform4x4x3.DisplayName,三重平台 4x4,
Nadca.Platform5x5x3.DisplayName,三重平台 5x5,
Nadca.Platform5x5x3.Access.DisplayName,三重平台 5x5 (W),
Nadca.Platform10x10.Description,单独的平台顶部，四个角需要支撑。
Nadca.Platform10x10.DisplayName,超大型平台顶部 10x10,
Nadca.RustedPlatform20x20.FlavorDescription,小心锋利！,
Nadca.RustedPlatform20x20.DisplayName,超大型平台 20x20,
Nadca.PlatformMetalBlock.Description,单独的平台支柱，可以作为支撑。不能阻断水流。,
Nadca.PlatformMetalBlock.DisplayName,平台支柱,
Nadca.PlatformMetalBase20x20.Description,四个平台支柱，适用于超大型平台 20x20。,
Nadca.PlatformMetalBase20x20.DisplayName,平台支柱组合,
Nadca.PlatformWoodBlock.Description,单独的平台支柱，可以作为支撑。能阻断水流。,
Nadca.PlatformWoodBlock.DisplayName,防水平台支柱,
Nadca.MetalPlatform1x1.Description,金属平台，由一根坚固的中心柱支撑。,
Nadca.MetalPlatform1x1.DisplayName,金属平台 1x1,
Nadca.MetalPlatform3x3.Corner.Description,金属平台，由一根坚固的角柱支撑。,
Nadca.MetalPlatform3x3.Corner.DisplayName,角落金属平台 3x3,
Nadca.MetalPlatform4x4.Corner.Description,金属平台，由一根坚固的角柱支撑。,
Nadca.MetalPlatform4x4.Corner.DisplayName,角落金属平台 4x4,
Nadca.MetalPlatform4x4.Access.Description,金属平台，由一根坚固的偏心柱支撑。角落带有凹陷。,
Nadca.MetalPlatform4x4.Access.DisplayName,角落金属平台 4x4 (W),
Nadca.MetalPlatform5x10.Description,大型金属平台，由一根坚固的中心柱支撑。,
Nadca.MetalPlatform5x10.DisplayName,金属平台 10x5,
Nadca.MetalPlatform15x15.Description,大型金属平台，由一根坚固的中心柱支撑。,
Nadca.MetalPlatform15x15.DisplayName,金属平台 15x15,
Nadca.MetalPlatform5x5.Lip.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有凸出。,
Nadca.MetalPlatform5x5.Lip.DisplayName,金属平台 5x5 (A),
Nadca.MetalPlatform5x5.Lip2.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有凹陷和悬挂。,
Nadca.MetalPlatform5x5.Lip2.DisplayName,金属平台 5x5 (B),
Nadca.MetalPlatform5x5.Lip2b.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有凹陷和更长的悬挂。,
Nadca.MetalPlatform5x5.Lip2b.DisplayName,金属平台 5x5 (B+),
Nadca.MetalPlatform5x5.Lip3.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有悬挂。,
Nadca.MetalPlatform5x5.Lip3.DisplayName,金属平台 5x5 (C),
Nadca.MetalPlatform5x5.Access.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有凹陷。,
Nadca.MetalPlatform5x5.Access.DisplayName,金属平台 5x5 (W),
Nadca.TunnelPlatform.DisplayName,防水平台,
Nadca.TunnelPlatform.Description,采用了神奇的设计。能阻断水流。,
