ID,Text,Comment
LV.QS.AutoContinueShift,Automatyczne ładowanie po przytrzymaniu Shift,-
LV.QS.AutoContinueShiftDesc,Automatycznie załaduj ostatnio zapisaną grę (jak klikając przycisk Kontynuuj) podczas przytrzymywania klawisza Shift na początku gry.,-
LV.QS.AutoContinueShiftToCancel,"Naciśnij Shift, aby zamiast tego anulować.",-
LV.QS.AutoContinueShiftToCancelDesc,"Zawsze ładuj ostatnie zapisanie, chyba że przytrzymasz Shift podczas rozpoczęcia gry.",-
LV.QS.AutoLoadMap,Zamiast tego automatycznie załaduj Edytor Map.,-
LV.QS.AutoLoadMapDesc,"Automatycznie wczytuj Edytor Map przy uruchamianiu gry, jak przycisk Kontynuuj, ale dla Edytora Map.",-
LV.QS.PromptContinue,"Naciśnij Shift, aby kontynuować automatycznie.",-
LV.QS.PromptLoadMap,"Naciśnij Shift, aby automatycznie załadować Edytor Mapy",-
LV.QS.PromptCancelContinue,"Naciśnij Shift, aby anulować automatyczne kontynuowanie",-
LV.QS.PromptCancelLoadMap,"Naciśnij Shift, aby anulować automatyczne ładowanie Edytora Map.",-
