ID,Text,Comment
LV.SE.Enabled,Включено,-
LV.SE.EnabledDesc,Включен ли этот мод.,-
LV.SE.SaveFrequency,Частота автосохранения (дни),-
LV.SE.SaveFrequencyDesc,Как часто этот мод должен автоматически сохранять.,-
LV.SE.SaveCount,Количество автосохранений,-
LV.SE.SaveCountDesc,Сколько автосохранений следует сохранять.,-
LV.SE.SaveWeatherWarning,Дополнительная экономия на предупреждении о погоде,-
LV.SE.SaveWeatherWarningDesc,"Когда выдается предупреждение о погоде, создается дополнительный сохранение с названием 'weatherwarning.save', которое перезаписывается только следующим предупреждением цикла. Это сохранение не учитывается в общем количестве сохранений.",-
LV.SE.AutosaveWarning,Предупреждать перед автосохранением,-
LV.SE.AutosaveWarningDesc,"Показывайте предупреждение за некоторое время до автоматического сохранения игры. Это полезно для игроков, которым не нравится подтормаживание игры при автоматическом сохранении.",-
LV.SE.AutosaveWarningText,Автосохранение скоро в {0} игровых часов!,-
LV.SE.AutosaveDoneText,Игра автоматически сохранена (Сохранять каждый день)!,-
LV.SE.AutoSaveFilename,Автоматическое сохранение имени файла,-
LV.SE.AutoSaveFilenameDesc,"Пользовательское имя файла для авто-сохранений. Если вы используете это, обязательно добавьте .saveeveryday в конце, чтобы автоматически удалить. В противном случае игра не будет автоматически удалять файл сохранения. Используйте {0} для номера цикла, {1} для номера дня цикла и {2} для общего числа дней. Например: C{0}_D{1}.saveeveryday. Оставьте пустым, чтобы использовать имя файла по умолчанию (SaveDay{2}.saveeveryday).",-
