ID,Text,Comment
argargablar.TimberLapse.Settings.Menu,Ustawienia TimberLapse,-
argargablar.TimberLapse.OutputDir,Katalog wyjściowy,-
argargablar.TimberLapse.OutputFormat,Format wyjściowy,-
argargablar.TimberLapse.Resolution,Rozdzielczość wyjściowa,-
argargablar.TimberLapse.UseCustomResolution,Użyj niestandardowej rozdzielczości,-
argargablar.TimberLapse.CustomResWidth,Szerokość niestandardowa,-
argargablar.TimberLapse.CustomResHeight,Wysokość niestandardowa,-
argargablar.TimberLapse.Verbose,Szczegółowe logowanie,-
argargablar.TimberLapse.Frequency,Częstotliwość timelapsów,-
argargablar.TimberLapse.Frequency.1h,1 godzina,-
argargablar.TimberLapse.Frequency.2h,2 godziny,-
argargablar.TimberLapse.Frequency.4h,4 godziny,-
argargablar.TimberLapse.Frequency.6h,6 godzin,-
argargablar.TimberLapse.Frequency.8h,8 godzin,-
argargablar.TimberLapse.Frequency.hd,12 godzin,-
argargablar.TimberLapse.Frequency.1d,1 Dzień,-
argargablar.TimberLapse.Frequency.2d,2 dni,-
argargablar.TimberLapse.Frequency.es,Każda pora roku,-
argargablar.TimberLapse.Frequency.ec,Każdy cykl,-
argargablar.TimberLapse.DefaultCamera,Mój aparat,-
argargablar.TimberLapse.Enable,Włącz TimberLapse,-
argargablar.TimberLapse.IngamePanel,TimberLapse,-
argargablar.TimberLapse.SetCameras,Ustaw kamery,-
argargablar.TimberLapse.ManualScreenshot,Zrzut ekranu,-
argargablar.TimberLapse.ManualScreenshotTip,Zrób ręczny zrzut ekranu za pomocą wybranej kamery.,-
argargablar.TimberLapse.OpenSettings,Ustawienia,-
argargablar.TimberLapse.QuickNotif.Success,Zrzut ekranu zrobiony,-
argargablar.TimberLapse.QuickNotif.Failure,Zrzut ekranu nie powiódł się.,-
argargablar.TimberLapse.ModSettingBox,Więcej ustawień,-
argargablar.TimberLapse.CameraConfig.Header,Kamery TimberLapse,-
argargablar.TimberLapse.CameraConfig.Rename,Zmień nazwę,-
argargablar.TimberLapse.CameraConfig.RenameTip,Zmień nazwę wybranego aparatu.,-
argargablar.TimberLapse.CameraConfig.SetView,Ustaw kamerę,-
argargablar.TimberLapse.CameraConfig.SetViewTip,Ustaw wybraną kamerę na widok gracza.,-
argargablar.TimberLapse.CameraConfig.CheckView,Zobacz aparat,-
argargablar.TimberLapse.CameraConfig.CheckViewTip,Przenieś kamerę gry do zapisanego widoku wybranego aparatu.,-
argargablar.TimberLapse.CameraConfig.AddCameraTip,Dodaj nową kamerę,-
argargablar.TimberLapse.CameraConfig.RemoveCameraTip,Usuń usuniętą kamerę.,-
argargablar.TimberLapse.CameraFoV,Kąt widzenia,-
argargablar.TimberLapse.CameraFreeMode,Tryb kamery wolnej: WŁĄCZONE,-
