ID,Text,Comment
IgorZ.Automation.CancelTool.Description,Use this tool to clean up any automation on the buildings or construction sites.,-
IgorZ.Automation.CancelTool.Title,Cancel automation,-
IgorZ.Automation.CheckAccessBlockCondition.Blocking.Description,blocks path,-
IgorZ.Automation.CheckAccessBlockCondition.NotBlocking.Description,doesn't block path,-
IgorZ.Automation.CheckAccessBlockCondition.NotYetReachable,"Builders can't reach it yet, but a path is being constructed.",-
IgorZ.Automation.CheckAccessBlockCondition.UnreachableAlert,Unreachable construction site,-
IgorZ.Automation.CheckAccessBlockCondition.UnreachableStatus,The builders can't find the way to this site. Maybe nothing can be constructed here.,-
IgorZ.Automation.DebugFinishNowTool.Description,Immediately completes the selected constructs.,-
IgorZ.Automation.DebugFinishNowTool.Title,Finish now debug tool,-
IgorZ.Automation.DebugPickTool.Description,Prints components on the selected object.,-
IgorZ.Automation.DebugPickTool.DescriptionHint1,Hold <i>SHIFT</i> to print Accessible.,-
IgorZ.Automation.DebugPickTool.DescriptionHint2,Hold <i>CTRL</i> to print NavMesh edges.,-
IgorZ.Automation.DebugPickTool.Title,Debug tool,-
IgorZ.Automation.PauseTool.Description,Use this tool to pause buildings and construction sites.,-
IgorZ.Automation.PauseTool.Title,Pause buildings,-
IgorZ.Automation.ResumeTool.Description,Use this tool to resume buildings and construction sites.,-
IgorZ.Automation.ResumeTool.Title,Unpause buildings,-
IgorZ.Automation.ShowStatusAction.AutomationErrorAlert,Automation error,-
IgorZ.Automation.ShowStatusAction.AutomationErrorDescription,Some automation rules cannot be executed.,-
IgorZ.Automation.ShowStatusAction.HoldCompletionStatusText,Waiting for the other buildings to finish.,-
IgorZ.Automation.ShowStatusAction.HoldConstruction,hold completion,-
IgorZ.Automation.ShowStatusAction.ResumeConstruction,resume building,-
IgorZ.Automation.Tool.tmpl.2LevelsDynamite.DisplayName,Explode dynamite twice.,-
IgorZ.Automation.Tool.tmpl.3LevelsDynamite.DisplayName,Explode dynamite three times.,-
IgorZ.Automation.Tool.tmpl.4LevelsDynamite.DisplayName,Explode dynamite four times.,-
IgorZ.Automation.Tool.tmpl.5LevelsDynamite.DisplayName,Explode dynamite five times.,-
