ID,Text,Comment
eMka.Minimap.Settings.BlockObjectColor,Objet,-
eMka.Minimap.Settings.BuildingColor,Bâtiment,-
eMka.Minimap.Settings.ChunkSize,Taille de fragment,-
eMka.Minimap.Settings.ChunkSizeTooltip,"La taille des morceaux dans lesquels la minimap est divisée pour le rendu. Des valeurs plus faibles provoqueront un rendu plus lent de la minimap, mais peuvent aider à résoudre des problèmes de performance.",-
eMka.Minimap.Settings.Colors,Couleurs,-
eMka.Minimap.Settings.DeadPlantColor,Plante morte,-
eMka.Minimap.Settings.DeadTreeColor,Arbre mort,-
eMka.Minimap.Settings.DeepBadwaterColor,Eaux profondes et mauvaises,-
eMka.Minimap.Settings.DeepWaterColor,Eaux profondes,-
eMka.Minimap.Settings.DisableSize,Ne pas afficher la mini-carte pour les cartes avec des côtés plus petits que,-
eMka.Minimap.Settings.GeneralSettings,Général,-
eMka.Minimap.Settings.HighestGrassColor,Herbe la plus haute,-
eMka.Minimap.Settings.HighestTerrainColor,Terrain le plus élevé,-
eMka.Minimap.Settings.LowestGrassColor,Herbe la plus basse,-
eMka.Minimap.Settings.LowestTerrainColor,Terrains les plus bas,-
eMka.Minimap.Settings.MinimapRotation,Faire pivoter la mini-carte,-
eMka.Minimap.Settings.MinimapRotationHeader,Rotation de la mini-carte,-
eMka.Minimap.Settings.PathColor,Chemin,-
eMka.Minimap.Settings.PlantColor,Plante,-
eMka.Minimap.Settings.ShallowBadwaterColor,Eau peu profonde mauvaise,-
eMka.Minimap.Settings.ShallowWaterColor,Eau peu profonde,-
eMka.Minimap.Settings.TreeColor,Arbre,-
eMka.Minimap.Settings.WaterPlantColor,Plante aquatique,-
