ID,Text,Comment
MapMakerPlants.GiantSequoia.DisplayName,Séquoia géant 3x3,-
MapMakerPlants.2X2treePlaceholder1.DisplayName,2x2 ??? arbre,-
MapMakerPlants.Brambles.DisplayName,Ronces,-
MapMakerPlants.NewVineV.DisplayName,Vignes (verticales),-
MapMakerPlants.NewVineH.DisplayName,Vignes (Horizontales),-
MapMakerPlants.Waterbamboo.DisplayName,2x2 W.bambou,-
MapMakerPlants.Baobab.DisplayName,5x5 Baobab,-
MapMakerPlants.LemonTree.DisplayName,LemonTree,-
MapMakerPlants.PinkBirch.DisplayName,Toujours en fleurs,-
MapMakerPlants.RuinedPath.DisplayName,Chemin ruiné,-
MapMakerPlants.BrokenHouse.DisplayName,Maison en ruine (bûches),-
MapMakerPlants.PlankRuin.DisplayName,Maison cassée (Planches),-
NaturalResource.PinkBirch.DisplayName,Fleur éternelle,-
Good.Pumpkin.DisplayName,Citrouille,-
Good.Pumpkin.PluralDisplayName,Citrouilles,-
NaturalResource.Waterbamboo.DisplayName,Bambou incroyablement grand,-
Lapantouflemagic.NewVineH.DisplayName,Vigne,-
MapMakerPlants.GearsRuin.DisplayName,Maison cassée (Engrenages),-
MapMakerPlantReader.GrapeNeed.DisplayName,Raisins,-
MapMakerPlantReader.Lemonade.DisplayName,Limonade,-
MapMakerPlantReader.Lemonade.PluralDisplayName,Limonade,-
Good.RedGrapes.DisplayName,Raisins,-
Good.RedGrapes.PluralDisplayName,Raisins,-
MapMakerPlantReader.Lemons.DisplayName,Citron,-
MapMakerPlantReader.Lemons.PluralDisplayName,Citrons,-
