ID,Text,Comment
CBW.ChangeWalkingSpeed,更改移动速度,-
CBW.ChangeWalkingSpeedDesc,勾选后，海狸和机关人的移动速度可以被下列选项更改。,-
CBW.BaseWalkingSpeed,基础移动速度,-
CBW.BaseWalkingSpeedDesc,海狸的基础移动速度（游戏默认：2.7）。,-
CBW.BaseSlowedSpeed,基础负重速度,-
CBW.BaseSlowedSpeedDesc,海狸携带物品时的基础移动速度（游戏默认：1.5）。,-
CBW.DifferentBotSpeed,机关人不同速度,-
CBW.DifferentBotSpeedDesc,勾选后，机关人将有不同的移动速度。可能会对性能产生轻微影响。,-
CBW.BaseBotWalkingSpeed,机关人基础移动速度,-
CBW.BaseBotWalkingSpeedDesc,机关人的基础移动速度（游戏默认：2.7）。,-
CBW.BaseBotSlowedSpeed,机关人基础负重速度,-
CBW.BaseBotSlowedSpeedDesc,机关人携带物品时的基础移动速度（游戏默认：1.5）。,-
CBW.CarryingWeightMultiplier,承载重量倍数,-
CBW.CarryingWeightMultiplierDesc,可以将海狸的承载重量更改为原本的N倍（游戏默认：1）。,-
CBW.WorkSpeedMultiplier,工作速度倍数,-
CBW.WorkSpeedMultiplierDesc,可以将海狸的工作速度更改为原本的N倍（游戏默认：1）。,-
CBW.BotWorkSpeedMultiplier,机关人工作速度倍数,-
CBW.BotWorkSpeedMultiplierDesc,可以将机关人的工作速度更改为原本的N倍（游戏默认：1）。,-
